id;record_unique_identifier;category_id;category_code;category_name;category_description;status;free_field_1;free_field_2;free_field_3;is_deleted
1;90ad8c49-ab44-43af-a456-be2f58e053e4;49037;compressing national;bypassing withdrawal Multi-layered;hour Dynamic;INACTIVE;synthesize AI;bleeding-edge;groupware extend Dakota;true
2;7ae1dde3-2c3b-4019-ac74-317937a69fd3;19673;Fresh infrastructures high-level;e-business;invoice;ACTIVE;Branch;Open-source;Locks copy;false
3;defbceba-7563-4fcb-9d5e-c716764e47df;34944;violet transmitting connect;Avon;Shoes;ACTIVE;Borders Hampshire;deposit online;enterprise;false
4;269050d8-8164-425d-b467-d7da9c115fc5;96747;HDD matrix;pink turn-key;Ball Dollar Louisiana;INACTIVE;firewall;Generic mobile Buckinghamshire;Iranian;true
5;324c38e0-c85f-4992-a276-ee7fcfc569fa;5006;Developer;Wooden bandwidth;Underpass;ACTIVE;Rustic;FTP;Tasty Computers Estates;false
6;a8627a92-f8b5-4a07-86c0-d3d48b6f7327;60744;withdrawal Marketing;olive Representative payment;transmit networks Berkshire;INACTIVE;copying violet;neural;Stream deposit Infrastructure;false
7;62099535-78a9-4ec9-86f9-fa62150bebf9;31249;Cotton;architect;Neck Plastic Product;INACTIVE;time-frame;lavender calculating Myanmar;array payment;false
8;c832b6ac-8ea1-48c4-b1f7-9af2a13ad31e;89829;indigo;incubate Metrics;Dynamic;INACTIVE;Frozen;Games mobile AI;Metal Administrator Qatar;true
9;1cfc5ae9-b4da-4e05-89ec-2cda93dac8ea;84744;deposit;program hack;EXE Incredible Health;INACTIVE;States deposit JSON;HDD Path;Director Buckinghamshire magenta;true
10;c30f632d-d359-48d5-b134-7ce348d4788e;14849;Buckinghamshire array web;FTP Future;bandwidth Ohio Gorgeous;ACTIVE;real-time primary Multi-channelled;executive;strategic;false
