id;record_unique_identifier;fee_id;fee_code;fee_description;status;free_field_1;free_field_2;free_field_3;created_at;updated_at;is_deleted
1;a8dcc1c9-90a0-46d3-aaf4-61820eb28d1e;32158;overriding;Fresh real-time calculating;true;Fantastic;Rustic digital;PNG synthesizing;2023-04-03;2023-04-04;2023-04-04
2;e8131069-6081-40b1-8e2a-ceebdc56ebb7;4892;Avon XML Liaison;Shoes Administrator;false;Czech;24/7 system Central;application haptic;2023-04-04;2023-04-04;2023-04-04
3;e5bcee2c-32dc-4852-b439-43efc5faa40f;80684;HTTP Incredible SMS;e-business;false;Synergistic;Qatar multi-byte architect;Usability;2023-04-04;2023-04-04;2023-04-04
4;9e2ed8a5-dadb-4a5d-8e39-6f9a5ed96d65;28260;Direct haptic;efficient Intelligent;false;Berkshire;Cambridgeshire Tajikistan Borders;Orchestrator drive Bacon;2023-04-03;2023-04-04;2023-04-04
5;cd10ff0f-c585-4986-b283-63ab59c8e29c;30204;Argentine;invoice gold;false;Assimilated Market Sleek;Chair;Electronics;2023-04-04;2023-04-03;2023-04-03
6;f215b405-ce3a-4f6d-8c81-19a1399212ed;70297;Architect Car;eyeballs;true;ADP Profound Rubber;transmitter deposit;Lithuania directional grid-enabled;2023-04-03;2023-04-03;2023-04-03
7;7dfd28f6-3284-4139-a974-38e6e300a5b5;6655;connecting neural;Generic PCI;true;quantify;Cambridgeshire Face;payment silver Ergonomic;2023-04-04;2023-04-03;2023-04-04
8;fceeca85-0ea8-48cc-9e36-7ae8875eebcb;71620;lime Greens;Clothing indigo Shoes;false;HTTP invoice;Engineer Steel Persistent;programming matrix;2023-04-04;2023-04-04;2023-04-04
9;727aab51-cc20-482a-9d3e-6078367fc2bf;2997;Lakes;hacking Electronics;false;Market Representative deposit;SAS users Handcrafted;Marketing services Causeway;2023-04-04;2023-04-03;2023-04-03
10;6384f5b9-97ea-4171-a49c-34660d12c94e;61309;Communications bluetooth;systems bandwidth;false;virtual Chief;Card;Computer Toys;2023-04-04;2023-04-03;2023-04-04
