id;record_unique_identifier;address_id;addresss_name;address_description;created_at;updated_at;is_deleted
1;b6bbfee3-fac1-4fd2-994d-c6d6e0d1a4af;46796;optical Michigan;Pants relationships Health;2023-04-04;2023-04-04;2023-04-04
2;2fb3209b-1fb2-4082-a2ac-6d77af828d9a;31357;Incredible Applications Pizza;interactive;2023-04-04;2023-04-04;2023-04-04
3;c39eab09-043b-40dc-ae5e-5729f9db30cc;86451;Rustic USB Quality-focused;Bacon morph;2023-04-03;2023-04-04;2023-04-04
4;e5cdb19d-facf-4c93-94ad-9cf688a1850f;93874;input Account;Cheese Account Tasty;2023-04-04;2023-04-03;2023-04-04
5;61f7a242-a29e-4fa9-a3db-430b8242d635;34331;transparent purple alarm;COM;2023-04-04;2023-04-04;2023-04-04
6;08d4c1e5-fa75-4e24-aead-b0603ad3ec44;9753;integrated Practical Factors;visionary Soft olive;2023-04-04;2023-04-04;2023-04-04
7;6a0bc690-8b71-4893-a27a-4c2b956c3e15;43012;white;infomediaries Sausages;2023-04-04;2023-04-03;2023-04-04
8;90374640-c58c-40c0-90a0-fbdc84ce111d;8603;payment wireless;integrated Concrete bypassing;2023-04-04;2023-04-04;2023-04-04
9;a09a316b-7657-4eae-ab4b-8a882fa4e0e7;99701;South override Vermont;primary Unbranded olive;2023-04-04;2023-04-04;2023-04-04
10;c20781a9-6b4f-4814-8317-4925f3c4d41d;91230;niches Syrian;Mexico;2023-04-04;2023-04-03;2023-04-04
