id;record_unique_identifier;school_id;school_code;school_phone_number;school_alternative_phone_number;schoolemail_addess;school_name;status;free_field_1;registration_date;approved_date;free_field_2;free_field_3;is_deleted
1;8620a057-5a99-4d97-9985-c733beec960f;14090;Orchestrator Frozen Computer;payment Cotton overriding;bifurcated invoice;Cotton Metal;Generic;INACTIVE;policy Beauty;2023-04-04T07:06:25;2023-04-04T02:24:40;Togo Dollar;index;2023-04-04
2;38d0d004-d42f-4bf9-af5e-27c4532a94d5;37152;Refined Shoes Account;Computers Ohio Money;Home;Steel invoice Security;RAM;INACTIVE;Incredible;2023-04-04T16:15:58;2023-04-04T08:45:27;bypass Credit function;Principal indexing;2023-04-04
3;c54345c0-6c52-431a-a03f-74765448a785;37575;Georgia Brand Integrated;administration Cheese Fresh;interface Baby;withdrawal Coordinator bleeding-edge;hack Illinois;INACTIVE;Texas;2023-04-03T20:02:46;2023-04-04T08:03:50;reboot Soap;cross-media invoice Avon;2023-04-04
4;fec69c5f-e81e-4df8-b73f-a1658e994627;26808;Centralized;generating Polarised;Licensed magenta compressing;Awesome;Group Locks convergence;ACTIVE;deposit;2023-04-04T12:24:22;2023-04-04T08:03:23;Producer synthesize Investor;Assimilated;2023-04-04
5;14437023-7c0c-4855-a228-73d9301effb7;48001;Usability Pizza Horizontal;Credit firewall Organic;Compatible conglomeration Overpass;Loan;Incredible Plastic cross-platform;INACTIVE;Granite Small;2023-04-04T12:10:07;2023-04-04T11:50:27;online Architect;whiteboard Minnesota;2023-04-03
6;ab13605c-8f99-4f62-8993-12b664ac337c;40876;Account extensible;value-added Liaison Bedfordshire;digital blockchains;fresh-thinking FTP;system-worthy;INACTIVE;Pakistan;2023-04-04T10:30:41;2023-04-03T21:06:46;Officer;Shoes;2023-04-04
7;86eb7a02-9ecc-4b0b-822e-bed1d318457d;82350;Clothing interfaces system-worthy;web-enabled engage open-source;bandwidth deposit Up-sized;Estonia redefine;Steel transmitter knowledge;ACTIVE;Illinois Wyoming;2023-04-03T19:44:51;2023-04-04T05:37:17;Automotive ability Reduced;Buckinghamshire;2023-04-04
8;c0d18b6b-6955-4a51-9371-c566c687db6c;25453;Somoni relationships;quantifying;technologies Account Bike;transform orange compress;Wooden;INACTIVE;solution XSS;2023-04-04T07:24:33;2023-04-04T11:50:48;SSL encoding;generation;2023-04-03
9;4eb37e5a-68d3-49bf-845e-cc5808de59bc;97781;navigate;core markets Cambridgeshire;Ball Reverse-engineered;Louisiana Robust Borders;Minnesota Regional;INACTIVE;back-end withdrawal;2023-04-04T06:58:52;2023-04-04T05:33:35;Mountain Licensed;feed Wooden;2023-04-04
10;6398e5cb-720f-49ad-b8da-7dbb8915ccde;40038;Oregon;Vermont;best-of-breed monitor override;cross-platform Clothing;Bedfordshire task-force Checking;INACTIVE;Administrator white B2C;2023-04-04T12:17:23;2023-04-04T06:55:28;synergy programming Re-contextualized;XML reintermediate Lights;2023-04-04
