id;record_unique_identifier;payment_id;payment_code;customer_id;fee_amount;is_amount_fixed;fee_description;fixed_amount;payment_name;outstanding_amount;payment_channel;free_field_1;free_field_2;free_field_3
1;5c151947-f920-46ed-9de5-f00dd809031c;84285;62811;networks;28652;ACTIVE;fuchsia Principal;Pre-emptive Underpass;Rustic Product enable;69776;POINTOFSALE;calculating;Cambridgeshire copying;HDD
2;b79ee65e-a822-4cb1-a889-76130004ad26;58513;41393;Mouse Infrastructure sensor;50419;ACTIVE;archive;Networked complexity;parse SCSI;58451;MOBILEAPP;Sausages Sandwich holistic;feed;Forge Internal
3;aafb922d-622b-4fb9-b987-bad4635b2699;52576;603;unleash Plastic;50574;ACTIVE;Italy backing capacitor;program;Granite;89916;CHATBOT;generation;e-services neutral;Run
4;974c2749-42d3-4f16-be25-8f517a1febe3;85683;50195;Soap Jewelery;86897;ACTIVE;infomediaries Walks;web-readiness Incredible Developer;Branding;54024;ABSAINTERNETBANKING;feed Intuitive Yemeni;Unbranded;Table Tactics
5;aef5f8ca-a38a-4d56-b962-ca3e0f076b71;86831;28954;context-sensitive SMTP Metal;66544;ACTIVE;extend mission-critical;index Berkshire;Operations;5103;OVERTHECOUNTER;Plastic Alabama;even-keeled;Usability
6;447f0701-5395-4ca7-8f9c-ce216b945cfe;22766;72122;Michigan;97970;INACTIVE;Metal Sleek microchip;Metal;Rustic;94787;OVERTHECOUNTER;Bedfordshire Borders;SCSI;Electronics Bedfordshire
7;65546395-fe5d-48e1-a05c-b638e6f92497;17122;59914;Refined Afghani sexy;41800;ACTIVE;Quality SQL;Fish;Iranian quantifying;96737;USSD;deposit;Birr Handmade Specialist;payment virtual
8;8cf74db0-81ae-440d-935b-bda1162f64b9;98702;65051;Pants Enhanced;85461;ACTIVE;Tasty Table up;Emirates Clothing matrix;Small Managed compressing;62755;ABSAINTERNETBANKING;Central Bedfordshire payment;Forward Sleek;secondary
9;2542ff92-6131-4679-a391-7150f6ab2ea1;41333;68611;Metal;35481;ACTIVE;Borders maximized Coordinator;Korean;Kansas;59671;ABSAINTERNETBANKING;withdrawal;firewall niches Security;Mills
10;869f6beb-8105-4382-94f3-72c5de918f2a;72535;51428;deposit Avon Metal;19312;ACTIVE;actuating card;Barthelemy;Hat;85050;MOBILEAPP;impactful;copying connect;cutting-edge deposit
